	name	kind	query	description	comment	url	source	ccd	in_ccd
198	Z104477350	SMILES	CC(=O)c1cccc(Cl)c1		ENAMINE library		ENAMINE		False
199	Z992922238	SMILES	COC(=O)C1=CCN(C)CC1		ENAMINE library		ENAMINE		False
200	Z600446400	SMILES	CC(C)SCc1cccc(N)c1		ENAMINE library		ENAMINE		False
201	Z1142681983	SMILES	Cl.OCCCc1c[nH]cn1		ENAMINE library		ENAMINE		False
202	Z381268116	SMILES	Nc1cc(C(F)(F)F)no1		ENAMINE library		ENAMINE		False
203	Z90504514	SMILES	CN1CCC(NCCO)CC1		ENAMINE library		ENAMINE		False
204	Z1013768348	SMILES	CC(=O)c1cnc(C)nc1C		ENAMINE library		ENAMINE		False
205	Z992966844	SMILES	O=C(CC1CCCCC1)c1ncccn1		ENAMINE library		ENAMINE		False
206	Z104479788	SMILES	CC(O)c1ccc(Cl)cc1		ENAMINE library		ENAMINE		False
207	Z637343960	SMILES	c1cc(CNC2CCCCC2)co1		ENAMINE library		ENAMINE		False
208	Z994267504	SMILES	CNCCc1ncc(C)s1		ENAMINE library		ENAMINE		False
209	Z1493816383	SMILES	CC(N)C1COc2ccccc21		ENAMINE library		ENAMINE		False
210	Z1295581261	SMILES	OC(C1CCCO1)C(F)(F)F		ENAMINE library		ENAMINE		False
211	Z803083276	SMILES	Cc1csc(C(N)C2CC2)n1		ENAMINE library		ENAMINE		False
212	Z1037338642	SMILES	NC(c1ccccc1)C1CCOCC1		ENAMINE library		ENAMINE		False
213	Z607750392	SMILES	Cn1nccc1C1CCCNC1		ENAMINE library		ENAMINE		False
214	Z412037466	SMILES	CSc1c(N)cccc1Cl		ENAMINE library		ENAMINE		False
215	Z1259341148	SMILES	CN1CC2CNCC2C1c1ccccc1		ENAMINE library		ENAMINE		False
216	Z803153234	SMILES	Cc1nn(C)c2ncc(CN)cc12		ENAMINE library		ENAMINE		False
217	Z992718696	SMILES	CC(C)c1csc(C2CCCNC2)n1		ENAMINE library		ENAMINE		False
218	Z839498422	SMILES	Cc1cc(C)n(CC2CCCCN2)n1		ENAMINE library		ENAMINE		False
219	Z992718990	SMILES	CC(C)c1csc(C2CCNCC2)n1.Cl.Cl		ENAMINE library		ENAMINE		False
220	Z54462534	SMILES	CCC(=O)c1ccccc1OC		ENAMINE library		ENAMINE		False
221	Z381006388	SMILES	CC(=O)c1sccc1Br		ENAMINE library		ENAMINE		False
222	Z259727378	SMILES	Fc1cc(F)c2c(c1)NCCC2		ENAMINE library		ENAMINE		False
223	Z362022096	SMILES	CN(C)c1cccc(Cl)c1CO		ENAMINE library		ENAMINE		False
